name,firstName,country,title,studio,duration,year,category,genre,award,addon,
MELBY,John,USA,Layers (for computer-synthesized tape),,0:09:42,1982,Numérique,,M,,
VAGGIONE,Horacio,Argentine,Octuor,,0:09:30,1982,Numérique,,M,,
POORT,Hans,Pays-Bas,The medium is the matter,,0:14:02,1982,Programme,,2,,
KUCHARZYK,Henry,Canada,Targeting,,0:12:25,1982,Programme,,M,,
OBST,Michael,Allemagne,Inside-(infinite chambers),,0:26:18,1983,Analogique,,1,EA,
SMALLEY,Denis,Gde Bretagne,Vortex,,0:15:42,1983,Analogique,,Prix CIME,,doublon ?
SMALLEY,Denis,Gde Bretagne,Vortex,,0:15:42,1983,Analogique,,1,EA,doublon ?
CARL,Gene,USA,What the river said,,0:23:33,1983,Analogique,,M1,,
HARRISON,Jonty,Gde Bretagne,Klang,,0:09:00,1983,Analogique,,2,,
GIORDANI,Eugenio,Italie,Voicings (pour bande),,0:16:30,1983,Analogique,,M,,
MAC LEAN,Barton,USA,The electric sinfonia,,0:09:20,1983,Analogique,,M,,
WATERS,Simon,Gde Bretagne,Dangerous liaisons,,0:12:50,1983,Analogique,,M,,
WEIDENAAR,Reynold,USA,Love of line of light and shadow : the brooklyn bridge,,0:10:24,1983,Art Visuel,,M1,,
UEHARA,Kazuo,Japon,Sound work I,,0:10:00,1983,Art Visuel,,M3,,
KERSHAW,David,Gde Bretagne,Opus I,,0:10:00,1983,Art Visuel,,M,,
DAVIDOW,Joseph,USA,Music for two flutes and tape,,0:11:30,1983,Mixte,,2,,
DUMITRESCU,Iancu,Roumanie,"Ursa Mare (pour synthé,2bassons, piano, percus.,4 contrebasses)",,0:16:00,1983,Mixte,,M,,
MOTZ,Wolfgang,Allemagne,Sotto pressioneE (pour deux hautbois et bande),,0:08:22,1983,Mixte,,M,,
PATACHICH,Ivan,Hongrie,Alterego per percussioni / solo / e nastro,,0:10:15,1983,Mixte,,M,,
CLARKE,John Michael,Gde Bretagne,Soundings,,0:09:40,1983,Mixte,,Prix CIM,,
BARRIERE,Jean-Baptiste,France,Chreode I,,0:09:30,1983,Numérique,,2,,
GRAZIANI,Mauro,Italie,The licent God,,0:09:40,1983,Numérique,,M,,
GRAZIANI,Mauro,Italie,Landing,,0:08:40,1983,Numérique,,M,,
JENKS,Alden,USA,Nagasaki,,0:26:00,1983,Programme,,2,,
NISHIOKA,Tatsuhiko,Japon,The conqueror worm,,0:10:00,1983,Programme,,M,,
ALEJANDRO,Edesio,Cuba,Tres de dos,,0:22:10,1984,Analogique,,1,EA,
PINERA,Juan,Cuba,Tres de dos,,0:22:10,1984,Analogique,,1,EA,
DHOMONT,Francis,France,Points de fuite,,0:13:20,1984,Analogique,,2,,
MANDOLINI,Ricardo,Argentine,De mi huian los pajaros,,0:08:52,1984,Analogique,,Prix CNM,,
PARMERUD,Ake,Suède,Kren,,0:17:40,1984,Analogique,,1,EA,
DOLDEN,Paul,Canada,The melting voice through mazes running,,0:20:40,1984,Analogique,,M,,
PLOMPEN,Peter,Pays-Bas,Triptiek,,00:25:22,1984,Analogique,,M,,
SMILEY,Pril,USA,Forthy three (43),,0:12:00,1984,Analogique,,M,,
BLOMQVIST,Anders,Suède,Jaguar revisisted,,0:15:30,1984,Art Visuel,,2,,
THOMPSON,Robert Scott,USA,Ulster commentary,,0:15:00,1984,Art Visuel,,M,,
SOUSTER,Tim,Gde Bretagne,"The transistor radio of saint narcissus (for flugelhorn, live, et tape",,0:24:00,1984,Mixte,,1,,
DESJARDINS,André-Luc,Canada,Manu Militari (pour tuba et bande),,0:23:45,1984,Mixte,,2,,
WYATT,Scott,USA,All for one(pour percussion et bande),,0:10:45,1984,Mixte,,M,,
CHAFE,Chris,USA,In a word (pour violoncelle et bande),,0:10:00,1984,Mixte,,M,,
PERERA,Ronald,USA,Tolling (pour deux pianos et bande),,0:08:15,1984,Mixte,,M,,
VINAO,Alejandro,Argentine,"Triple concerto (pour flûte, piano, violoncelle et bande)",,0:27:00,1984,Mixte,,M,,
PATACHICH,Ivan,Hongrie,Ludi spaziali (per piano-forte e nastro),,0:10:30,1984,Mixte,,Prix CIME,EA,
WYATT,Scott,USA,All for one(pour percussion et bande),,0:10:45,1984,Mixte,,Prix CIME,EA,
MOWITZ,Ira,USA,A la mémoire d'un ami,,0:13:05,1984,Numérique,,1,,
BERGER,Jonathan,USA,A pockeful of posies,,0:09:23,1984,Numérique,,2,,
KARPEN,Richard,USA,Mu song,,0:19:00,1984,Numérique,,M,,
PARMERUD,Ake,Suède,Out of sight,,0:13:00,1984,Numérique,,M,,
BRNCIC,Gabriel,Espagne,Chile fertil provincia…,,0:23:40,1984,Programme,,1,,
RUDNIK,Eugeniusz,Pologne,Homo ludens (ballet radiophonique),,0:43:30,1984,Programme,,2,,
BRUYNEL,Ton,Pays-Bas,Adieu petit prince,,0:18:50,1984,Programme,,M,,
ORE,Cécilie,Norvège,Im-mobile,,0:09:00,1985,Art Visuel,,M,,
CELONA,John,USA,Possible orchestras (at the 21 st harmonic),,0:12:00,1985,Électroacoustique,,P,,
OBST,Michael,Allemagne,Kristallwelt part 1,,0:12:10,1985,Électroacoustique,,P,,
BERENGUER,José Manuel,Espagne,Musica en la noche (étude de stage),,0:12:55,1985,Électroacoustique,,M,,
NEMESCU,Octavian,Roumanie,Naturel-culturel,,0:20:00,1985,Électroacoustique,,M,,
PETERSEN,Tracy,USA,Digital tantra Ii,,0:09:25,1985,Électroacoustique,,M,,
KOSK,Patrick,Finlande,Nebula prospekt,,0:09:57,1985,Électroacoustique,,Prix CIME,EA,
NEMESCU,Octavian,Roumanie,Naturel-culturel,,0:20:00,1985,Électroacoustique,,Prix CIME,EA,
EMMERSON,Simon,Gde Bretagne,Time past IV (pour bande et soprano),,0:12:30,1985,Mixte,,P,,
RAI,Takayuki,Japon,Transparency (pour harpe et bande),,0:08:10,1985,Mixte,,P,,
ALVAREZ,Javier,Mexique,Temazcal,,0:08:00,1985,Mixte,,M,,
MAC DONALD,Alistaire,Gde Bretagne,Stiriae,,0:12:30,1985,Mixte,,Prix CNM,EA,
YVANEZ,Roland,France,ables (pour bande et épinette amplifiée),,0:15:00,1985,Mixte,,M,,
BEYLS,Peter,Belgique,A quiet disturbance,,0:14:30,1985,Numérique,,Prix CNM,,
VOIGTLAENDER,Lothar,Allemagne,Maikafer flieg,,0:09:45,1985,Programme,,P,,
MANDOLINI,Ricardo,Argentine,Charly,,0:08:30,1985,Programme,,M,,
DOLDEN,Paul,Canada,Veils : studies in textural transformations,,0:28:28,1986,Électroacoustique,,2,,
JONES,David Evan,USA,Scritto,,0:08:05,1986,Électroacoustique,,M,,
KATZER,Georg,Allemagne,Steine-lied (chant des pierres),,0:09:40,1986,Électroacoustique,,M,,
LORRAIN,Denis,France,…Black it stood as night,,0:14:19,1986,Électroacoustique,,M,,
RIMMER,John,Nlle Zélande,Fleeting images,,0:12:14,1986,Électroacoustique,,Prix CIME,EA,
NORMANDEAU,Robert,Canada,Matrechka,,0:13:40,1986,Électroacoustique,,Prix FNME,EA,
SCHEIDT,Daniel,Canada,A DIGITAL ECLOGUE (un dialogue numérique),,0:15:00,1986,Live,,M,,
SCHRYER,Claude,Canada,A digital eclogue (un dialogue numérique),,0:15:00,1986,Live,,M,,doublon ?
SCHRYER,Claude,Canada,A kindred spirit (pour ensemble instrumental et bande),,0:16:00,1986,Mixte,,2,EA,doublon ?
VAGGIONE,Horacio,Argentine,Thema (pour saxophone basse et bande),,0:10:06,1986,Mixte,,2,EA,
SZEREMETA,Ryszard,Pologne,Amphora,,0:16:40,1986,Mixte,,M,,
ALVAREZ,Javier,Mexique,Luz caterpilar(pour piano & bande),,0:13:00,1986,Mixte,,M,,
TOSI,Daniel,France,Scordatura 14 (pour quintette à cordes et bande),,0:16:30,1986,Mixte,,M,,
RUDOW,Adelberg Vivian,USA,With love (pour violoncelle et bande),,0:16:12,1986,Programme,,1,,
BRUYNEL,Ton,Pays-Bas,Chicharras,,0:15:00,1986,Programme,,2,EA,
DOROBISZ,Patrick,France,Souprematika (séquence 3 de la symphonie des Machines ),,0:08:51,1986,Programme,,2,EA,
BERENGUER,José Manuel,Espagne,La perla estranya I (étude de stage),,0:14:00,1986,Programme,,M,,
DOHERTY,Douglas,Gde Bretagne,Lament,,0:14:10,1986,Programme,,M,,
HARRISON,Jonty,Gde Bretagne,Lament,,0:14:10,1986,Programme,,M,,
KATZER,Georg,Allemagne,La mécanique et les agents de l'érosion,,0:11:07,1986,Programme,,M1,,doublon ?
KATZER,Georg,Allemagne,La mécanique et les agents de l'érosion,,0:11:07,1986,Programme,,Prix CIME,EA,doublon ?
DE CLERCQ,Eric,Pays-Bas,De Dwang (compulsion),,0:09:45,1986,Programme,,Prix FNME,EA,
VAN HELVERT,Hans,Pays-Bas,De Dwang (compulsion),,0:09:45,1986,Programme,,Prix FNME,EA,
LEVINE,Josh,USA,Tel,,0:30:47,1987,Électroacoustique,,1,,
BERGER,Jonathan,USA,Meteora,,0:08:51,1987,Électroacoustique,,2,,
CZINK,Andrew,,Shadeless Peopled,,0:09:40,1987,Électroacoustique,,M,,
HARLEY,James,Canada,Voyage,,0:14:55,1987,Électroacoustique,,M,,
KARPEN,Richard,USA,Eclipse,,0:20:00,1987,Électroacoustique,,M,,
UNGVARY,Tamas,Suède,Gipsy children's giant dance qith ili Fourier,,0:18:00,1987,Électroacoustique,,M,,
MINJARD,Jean-François,France,Les espaces du temps,,0:22:20,1987,Électroacoustique,,M,,
RAI,Takayuki,Japon,5 inventions accompanied by computeur (for clari. cello and piano),,0:16:00,1987,Live,,M,,
