name,firstName,country,title,studio,duration,year,category,genre,award
SIREN Pekka,,Finlande,The genesis of Kazan (pour bande et vidéo),,0:24:05,1981,Programme,,M
RODER Klaus,,Allemagne,Mr. Frankenstein's babies,,0:10:42,1982,Analogique,,1 EA
MANDOLINI Ricardo,,Argentine,Cancion de madera y agua,,0:08:24,1982,Analogique,,2
MAZUREK Bohdan,,Pologne,6 electronci preludes,,0:14:55,1982,Analogique,,M
CONDON GARCIA Fernando,,Uruguay,Suiana Wanka,,0:05:45,1982,Analogique,,Prix CIM
KOSK Patrick,,Finlande,Transmissions in a… (system of coordinates),,0:17:22,1982,Analogique,,M
KRUIT Rob,,Pays-Bas,Unknown roads,,0:14:10,1982,Analogique,,M
MARCHAL Alain,,France,Los,,0:08:40,1982,Analogique,,M
SIREN Pekka,,Finlande,Kasaanin synty,,0:24:00,1982,Art Visuel,,2
WEIDENAAR Reynold,,USA,Wavelines II,,0:08:00,1982,Art Visuel,,M
LENFANT Patrick,,France,Alternances (pour flûte et synthétiseur),,0:13:00,1982,Mixte,,2 EA
NEMESCU Octavian,,Roumanie,Combinaisons en cercle (pour ensemble et bande),,0:11:45,1982,Mixte,,2 EA
DE MAREZ OYENS Tera,,Pays-Bas,Charon's Gift,,,1982,Mixte,,M
FORT Bernard,,France,Le tombeau de William Byrd,,0:25:28,1982,Mixte,,M
LANZA Alcides,,Canada,"AcufenosS V (for trumpet, piano, electronic and computer sounds)",,0:12:30,1982,Mixte,,M
PERRON Serge,,Canada,Fusion(for piano and tape),,0:08:20,1982,Mixte,,M
SUESSE Ulrich,,Allemagne,"Oboe (for oboe, 2 tapes and live-electronics)",,0:21:40,1982,Mixte,,M
CHAFE Chris,,USA,Solera,,0:12:05,1982,Numérique,,2 EA
LANCINO Thierry,,France,Static arches,,0:14:00,1982,Numérique,,2 EA
MAC NABB Michael,,USA,Love in the asylum,,0:14:00,1982,Numérique,,2 EA
MELBY John,,USA,Layers (for computer-synthesized tape),,0:09:42,1982,Numérique,,M
VAGGIONE Horacio,,Argentine,Octuor,,0:09:30,1982,Numérique,,M
POORT Hans,,Pays-Bas,The medium is the matter,,0:14:02,1982,Programme,,2
KUCHARZYK Henry,,Canada,Targeting,,0:12:25,1982,Programme,,M
OBST Michael,,Allemagne,Inside-(infinite chambers),,0:26:18,1983,Analogique,,1 EA
SMALLEY Denis,,Gde Bretagne,Vortex,,0:15:42,1983,Analogique,,Prix CIME
SMALLEY Denis,,Gde Bretagne,Vortex,,0:15:42,1983,Analogique,,1 EA
CARL Gene,,USA,What the river said,,0:23:33,1983,Analogique,,1ère Mention
HARRISON Jonty,,Gde Bretagne,Klang,,0:09:00,1983,Analogique,,2
GIORDANI Eugenio,,Italie,Voicings (pour bande),,0:16:30,1983,Analogique,,M
MAC LEAN Barton,,USA,The electric sinfonia,,0:09:20,1983,Analogique,,M
WATERS Simon,,Gde Bretagne,Dangerous liaisons,,0:12:50,1983,Analogique,,M
WEIDENAAR Reynold,,USA,Love of line of light and shadow : the brooklyn bridge,,0:10:24,1983,Art Visuel,,1ère Mention
UEHARA Kazuo,,Japon,Sound work I,,0:10:00,1983,Art Visuel,,3e Mention
KERSHAW David,,Gde Bretagne,Opus I,,0:10:00,1983,Art Visuel,,M
DAVIDOW Joseph,,USA,Music for two flutes and tape,,0:11:30,1983,Mixte,,2
DUMITRESCU Iancu,,Roumanie,"Ursa Mare (pour synthé,2bassons, piano, percus.,4 contrebasses)",,0:16:00,1983,Mixte,,M
MOTZ Wolfgang,,Allemagne,Sotto pressioneE (pour deux hautbois et bande),,0:08:22,1983,Mixte,,M
PATACHICH Ivan,,Hongrie,Alterego per percussioni / solo / e nastro,,0:10:15,1983,Mixte,,M
CLARKE John Michael,,Gde Bretagne,Soundings,,0:09:40,1983,Mixte,,Prix CIM
BARRIERE Jean-Baptiste,,France,Chreode I,,0:09:30,1983,Numérique,,2
GRAZIANI Mauro,,Italie,The licent God,,0:09:40,1983,Numérique,,M
GRAZIANI Mauro,,Italie,Landing,,0:08:40,1983,Numérique,,M
JENKS Alden,,USA,Nagasaki,,0:26:00,1983,Programme,,2
NISHIOKA Tatsuhiko,,Japon,The conqueror worm,,0:10:00,1983,Programme,,M
ALEJANDRO Edesio,,Cuba,Tres de dos,,0:22:10,1984,Analogique,,1 EA
PINERA Juan,,Cuba,Tres de dos,,0:22:10,1984,Analogique,,1 EA
DHOMONT Francis,,Canada,Points de fuite,,0:13:20,1984,Analogique,,2
MANDOLINI Ricardo,,Argentine,De mi huian los pajaros,,0:08:52,1984,Analogique,,Prix CNM
PARMERUD Ake,,Suède,Kren,,0:17:40,1984,Analogique,,1 EA
